TABLE_NAME,COLUMN_NAME,DATA_TYPE,IS_NULLABLE,COLUMN_KEY
aksesmateri,idAkses,int,NO,PRI
aksesmateri,idSiswa,int,NO,MUL
aksesmateri,idProduk,int,NO,MUL
aksesmateri,idOrder,int,YES,MUL
aksesmateri,statusAkses,enum,YES,MUL
aksesmateri,tanggalAkses,datetime,YES,
aksesmateri,createdAt,datetime,NO,
aksesmateri,updatedAt,datetime,NO,
form,idForm,int,NO,PRI
form,namaForm,varchar,NO,
form,tglDibuat,datetime,YES,
form,descForm,varchar,YES,
form,statusForm,enum,YES,
formfield,idField,int,NO,PRI
formfield,idForm,int,NO,MUL
formfield,namaField,varchar,NO,
formfield,tipeField,enum,NO,
formfield,nilaiPilihan,text,YES,
formfield,required,tinyint,YES,
formfield,textDescription,text,YES,
formfield,textWarning,text,YES,
formfield,placeholder,varchar,YES,
formfield,orderIndex,int,NO,
mateributton,idButton,int,NO,PRI
mateributton,idProduk,int,NO,MUL
mateributton,namaButton,varchar,NO,
mateributton,linkTujuan,text,NO,
mateributton,deskripsiButton,text,YES,
mateributton,tanggalPublish,datetime,YES,MUL
mateributton,tanggalExpire,datetime,YES,
mateributton,statusButton,enum,YES,MUL
mateributton,orderIndex,int,YES,
mateributton,createdAt,datetime,NO,
mateributton,updatedAt,datetime,NO,
orangtua,idOrangTua,int,NO,PRI
orangtua,idSiswa,int,NO,MUL
orangtua,namaAyah,varchar,YES,
orangtua,pekerjaanAyah,varchar,YES,
orangtua,noHpAyah,varchar,YES,
orangtua,namaIbu,varchar,YES,
orangtua,pekerjaanIbu,varchar,YES,
orangtua,noHpIbu,varchar,YES,
orangtua,namaWali,varchar,YES,
orangtua,hubunganWali,varchar,YES,
orangtua,noHpWali,varchar,YES,
orangtua,createdAt,datetime,NO,
orangtua,updatedAt,datetime,NO,
order,idOrder,int,NO,PRI
order,idProduk,int,YES,MUL
order,namaProduk,varchar,NO,
order,hargaProduk,decimal,NO,
order,idUser,int,YES,MUL
order,noHpPembeli,varchar,NO,
order,namaPembeli,varchar,NO,
order,emailPembeli,varchar,NO,
order,hargaTransaksi,decimal,NO,
order,jumlahBeli,int,YES,
order,diskon,decimal,YES,
order,hargaFinal,decimal,NO,
order,statusOrder,enum,YES,
order,statusPembayaran,enum,YES,
order,midtransTransactionId,varchar,YES,UNI
order,paymentMethod,varchar,YES,
order,paidAt,datetime,YES,
order,tglOrder,datetime,NO,
order,createdAt,datetime,YES,
order,updatedAt,datetime,YES,
orderformresponse,idResponse,int,NO,PRI
orderformresponse,idOrder,int,NO,MUL
orderformresponse,idField,int,NO,MUL
orderformresponse,nilaiJawaban,text,YES,
parentproduct1,idParent1,int,NO,PRI
parentproduct1,namaParent1,varchar,NO,UNI
parentproduct1,descParent1,text,YES,
parentproduct1,tglPublish,datetime,YES,
parentproduct1,status,enum,YES,
parentproduct1,tautanProduk,enum,YES,
parentproduct2,idParent2,int,NO,PRI
parentproduct2,idParent1,int,NO,MUL
parentproduct2,namaParent2,varchar,NO,UNI
parentproduct2,descParent2,text,YES,
parentproduct2,daftarUlangAktif,tinyint,YES,
parentproduct2,kategoriHargaDaftarUlang,enum,YES,
parentproduct2,hargaDaftarUlang,decimal,YES,
parentproduct2,tahunAjaran,varchar,YES,
parentproduct2,kapasitasMaksimal,int,YES,
parentproduct2,tglPublish,datetime,YES,
parentproduct2,status,enum,YES,
parentproduct2,tautanProduk,enum,YES,
passwordresettokens,idToken,int,NO,PRI
passwordresettokens,idUser,int,NO,MUL
passwordresettokens,token,varchar,NO,UNI
passwordresettokens,expiryDate,datetime,NO,
passwordresettokens,isUsed,tinyint,YES,
passwordresettokens,createdAt,datetime,YES,
product,idProduk,int,NO,PRI
product,idParent2,int,NO,MUL
product,namaProduk,varchar,NO,UNI
product,descProduk,text,YES,
product,kategoriHarga,enum,YES,
product,hargaModal,decimal,YES,
product,hargaJual,decimal,YES,
product,jenisProduk,enum,YES,
product,authProduk,enum,YES,
product,refCode,varchar,YES,
product,idForm,int,YES,MUL
product,statusProduk,enum,YES,
refreshtokens,idRefreshToken,int,NO,PRI
refreshtokens,idUser,int,NO,MUL
refreshtokens,token,varchar,NO,UNI
refreshtokens,expiryDate,datetime,NO,
refreshtokens,createdAt,datetime,YES,
roles,idRole,int,NO,PRI
roles,namaRole,varchar,NO,UNI
roles,createdAt,datetime,NO,
roles,updatedAt,datetime,NO,
siswa,idSiswa,int,NO,PRI
siswa,idUser,int,YES,MUL
siswa,namaLengkap,varchar,NO,
siswa,tempatLahir,varchar,YES,
siswa,tanggalLahir,date,YES,
siswa,jenisKelamin,enum,YES,
siswa,agama,varchar,YES,
siswa,nik,varchar,YES,UNI
siswa,nisn,varchar,YES,UNI
siswa,alamatLengkap,text,YES,
siswa,kota,varchar,YES,
siswa,provinsi,varchar,YES,
siswa,kodePos,varchar,YES,
siswa,noHp,varchar,YES,
siswa,email,varchar,YES,
siswa,statusAktif,enum,YES,
siswa,createdAt,datetime,NO,
siswa,updatedAt,datetime,NO,
siswakelas,idSiswaKelas,int,NO,PRI
siswakelas,idSiswa,int,NO,MUL
siswakelas,idParent2,int,NO,MUL
siswakelas,sudahDaftarUlang,tinyint,YES,
